"","Date_rel","Block","Genotype","Ant.mound.dist","Aphid.treatment","plant_ID","X","Aphis.growth.rate"
"300",25,"1","S",12,"aphid","1_12_aphid_S_51","651",-0.296190594365589
"301",25,"1","T",1,"aphid","1_1_aphid_T_3","603",-0.199747688848747
"302",25,"1","T",6,"aphid","1_6_aphid_T_23","623",-0.146312537494009
"303",25,"1","T",12,"aphid","1_12_aphid_T_44","644",0.105740982709607
"304",25,"1","U",1,"aphid","1_1_aphid_U_17","617",-0.146312537494009
"305",25,"1","U",6,"aphid","1_6_aphid_U_39","639",-0.146312537494009
"306",25,"1","U",12,"aphid","1_12_aphid_U_56","656",-0.0523058313548692
"307",25,"1","W",1,"aphid","1_1_aphid_W_2","602",-0.146312537494009
"308",25,"1","W",6,"aphid","1_6_aphid_W_21","621",-0.0179841584845382
"309",25,"1","W",12,"aphid","1_12_aphid_W_41","641",-0.31786432376968
"310",25,"1","X",1,"aphid","1_1_aphid_X_7","607",-0.146312537494009
"311",25,"1","X",6,"aphid","1_6_aphid_X_27","627",-0.348058308771736
"312",25,"2","F",1,"aphid","2_1_aphid_F_10","670",-0.239914302692296
"313",25,"2","G",6,"aphid","2_6_aphid_G_22","682",-0.146312537494009
"314",25,"2","G",12,"aphid","2_12_aphid_G_43","703",-0.146312537494009
"315",25,"2","I",1,"aphid","2_1_aphid_I_13","673",-0.146312537494009
"316",25,"2","I",6,"aphid","2_6_aphid_I_31","691",-0.239914302692296
"317",25,"2","I",12,"aphid","2_12_aphid_I_49","709",-0.146312537494009
"318",25,"2","J",1,"aphid","2_1_aphid_J_11","671",-0.146312537494009
"319",25,"2","J",6,"aphid","2_6_aphid_J_35","695",-0.341927283244869
"320",25,"2","J",12,"aphid","2_12_aphid_J_53","713",-0.146312537494009
"321",25,"2","L",1,"aphid","2_1_aphid_L_19","679",-0.146312537494009
"322",25,"2","L",6,"aphid","2_6_aphid_L_39","699",-0.146312537494009
"323",25,"2","L",12,"aphid","2_12_aphid_L_56","716",-0.146312537494009
"324",25,"2","S",6,"aphid","2_6_aphid_S_29","689",-0.146312537494009
"325",25,NA,NA,NA,NA,"2_12_aphid_S_47",NA,NA
"326",25,"2","T",1,"aphid","2_1_aphid_T_7","667",-0.176900922641392
"327",25,"2","T",6,"aphid","2_6_aphid_T_26","686",-0.146312537494009
"328",25,"2","T",12,"aphid","2_12_aphid_T_44","704",-0.252053520203616
"329",25,"2","U",1,"aphid","2_1_aphid_U_16","676",-0.146312537494009
"330",25,"2","U",6,"aphid","2_6_aphid_U_34","694",-0.146312537494009
"331",25,"2","U",12,"aphid","2_12_aphid_U_58","718",-0.146312537494009
"332",25,"2","W",1,"aphid","2_1_aphid_W_1","661",-0.162887224475278
"333",25,"2","W",6,"aphid","2_6_aphid_W_25","685",-0.146312537494009
"334",25,"2","W",12,"aphid","2_12_aphid_W_51","711",-0.267676270833313
"335",25,"2","X",1,"aphid","2_1_aphid_X_2","662",-0.146312537494009
"336",25,"2","X",6,"aphid","2_6_aphid_X_21","681",0.130462229571757
"337",25,"2","X",12,"aphid","2_12_aphid_X_41","701",-0.083299157443105
"338",25,"3","F",1,"aphid","3_1_aphid_F_13","733",0.0368604643734695
"339",25,"3","F",6,"aphid","3_6_aphid_F_34","754",-0.146312537494009
"340",25,"3","F",12,"aphid","3_12_aphid_F_50","770",-0.239914302692296
"341",25,"3","G",1,"aphid","3_1_aphid_G_5","725",-0.146312537494009
"342",25,"3","G",6,"aphid","3_6_aphid_G_25","745",-0.146312537494009
"343",25,"3","G",12,"aphid","3_12_aphid_G_44","764",-0.146312537494009
"344",25,"3","I",1,"aphid","3_1_aphid_I_9","729",-0.176900922641392
