Plant Position within Willow Garden for cutting,Genotype,Plants Greenhouse Letter,Plant Greenhouse Number,Cutting Length,Random Number,Experiment,Block,Aphids or No-Aphids,Distant to Ant Mound,Plant Position,
479,I,G,7,60,0.968354029,Field Ant,5,none,12,51,
113,T,B,2,60,0.970679413,Field Ant,5,none,12,52,
23,S,A,5,60,0.973101083,Field Ant,5,aphid,12,53,
472,G,F,6,60,0.975416988,Field Ant,5,none,12,54,
530,L,I,3,60,0.98162407,Field Ant,5,aphid,12,55,
294,U,C,5,60,0.982021101,Field Ant,5,aphid,12,56,
294,U,E,3,60,0.982435955,Field Ant,5,none,12,57,
23,S,D,4,60,0.983945506,Field Ant,5,none,12,58,
530,L,E,1,60,0.988865822,Field Ant,5,none,12,59,
257,F,D,6,60,0.993148348,Field Ant,5,none,12,60,
