"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Confidence.Ranking","Growth.Morphology","Guild","Confidence.Ranking.1"
"OTU_729","Fungi","Basidiomycota","Cystobasidiomycetes","Cystobasidiales","Cystobasidiaceae","Occultifur","Occultifur sp TMS_2011","-","-","-","-"
"OTU_1665","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus","Rhizophagus irregularis","Highly Probable","NULL","Arbuscular Mycorrhizal","Highly Probable"
"OTU_775","Fungi","Ascomycota","Sordariomycetes","Hypocreales","unidentified","unidentified","Hypocreales sp","Possible","Mold","Undefined Saprotroph","Possible"
"OTU_358","Fungi","Ascomycota","Leotiomycetes","Incertae sedis","Incertae sedis","Meliniomyces","Meliniomyces variabilis","Probable","Dark Septate Endophyte","Ectomycorrhizal-Saprotroph","Probable"
"OTU_283","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","unidentified","Sebacinaceae sp","-","-","-","-"
"OTU_712","Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Cystofilobasidiaceae","Cystofilobasidium","Cystofilobasidium capitatum","-","-","-","-"
"OTU_604","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_1892","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus","Rhizophagus irregularis","Highly Probable","NULL","Arbuscular Mycorrhizal","Highly Probable"
"OTU_970","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_630","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","unidentified","unidentified","Saccharomycetales sp","Possible","Yeast","Undefined Saprotroph","Possible"
"OTU_576","Fungi","Ascomycota","Sordariomycetes","unidentified","unidentified","unidentified","Sordariomycetes sp","-","-","-","-"
"OTU_719","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Incertae sedis","Rhodotorula","Rhodotorula aurantiaca","Probable","NULL","Animal Symbiont-Undefined Saprotroph","Probable"
"OTU_542","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Incertae sedis","Candida","Candida mesenterica","Possible","Yeast","Undefined Saprotroph","Possible"
"OTU_825","Fungi","Basidiomycota","Tremellomycetes","unidentified","unidentified","unidentified","Tremellomycetes sp","-","-","-","-"
"OTU_525","Fungi","Ascomycota","Dothideomycetes","Pleosporales","unidentified","unidentified","Pleosporales sp","-","-","-","-"
"OTU_526","Fungi","Ascomycota","Leotiomycetes","Helotiales","Vibrisseaceae","Phialocephala","Phialocephala fusca","Highly Probable","Dark Septate Endophyte","Undefined Endophyte","Highly Probable"
"OTU_586","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma sp TR057","Highly Probable","NULL","Wood Saprotroph","Highly Probable"
"OTU_336","Fungi","Ascomycota","Leotiomycetes","Helotiales","Incertae sedis","Tetracladium","Tetracladium maxilliforme","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_529","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula subfoetens","Highly Probable","Agaricoid","Ectomycorrhizal","Highly Probable"
"OTU_556","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Ganodermataceae","Ganoderma","Ganoderma lucidum","Highly Probable","Polyporoid","Plant Pathogen-Wood Saprotroph","Highly Probable"
"OTU_804","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula sp","Highly Probable","Agaricoid","Ectomycorrhizal","Highly Probable"
"OTU_1109","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula grata","Highly Probable","Agaricoid","Ectomycorrhizal","Highly Probable"
"OTU_1212","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Kazachstania","Kazachstania exigua","Possible","Yeast","Undefined Saprotroph","Possible"
"OTU_872","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma","Entoloma nitens","Possible","Agaricoid","Ectomycorrhizal-Saprotroph","Possible"
"OTU_1050","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula vesca","Highly Probable","Agaricoid","Ectomycorrhizal","Highly Probable"
"OTU_700","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula olivacea","Highly Probable","Agaricoid","Ectomycorrhizal","Highly Probable"
"OTU_666","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","unidentified","Russulaceae sp","Probable","Agaricoid, Corticioid, Gasteroid, Pleurotoid, or Secotioid","Ectomycorrhizal","Probable"
"OTU_688","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi sp","-","-","-","-"
"OTU_627","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Kazachstania","Kazachstania exigua","Possible","Yeast","Undefined Saprotroph","Possible"
"OTU_500","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Pichiaceae","Pichia","Pichia fermentans","Possible","Yeast","Undefined Saprotroph","Possible"
